year,population,region,deathCause,deaths
2006,38125479,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,15189
2007,38115641,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,15579
2008,38135876,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,15980
2009,38167329,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,15832
2010,38529866,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,16184
2011,38538447,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,15902
2012,38533299,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,16561
2013,38495659,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,16528
2014,38478602,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,16664
2015,38437239,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,17438
2016,38432992,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,17393
2017,38433558,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,17203
2018,38411148,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,17334
2019,38382576,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,17222
2020,38265013,POLSKA,niektóre choroby zakaźne i pasożytnicze - AIDS,17274
1999,38263303,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,19234
2000,38253955,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,20002
2001,38242197,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,20627
2002,38218531,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,21254
2003,38190608,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,21035
2004,38173835,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,21206
2005,38157055,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,21515
2006,38125479,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,21775
2007,38115641,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22148
2008,38135876,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22523
2009,38167329,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22348
2010,38529866,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22374
2011,38538447,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22251
2012,38533299,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22650
2013,38495659,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22655
2014,38478602,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,23210
2015,38437239,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,23745
2016,38432992,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,23833
2017,38433558,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,23351
2018,38411148,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,23722
2019,38382576,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,23136
2020,38265013,POLSKA,nowotwór złośliwy kobiecych piersi i szyjki macicy,22238
1999,38263303,POLSKA,nowotwory ogółem,6411
2000,38253955,POLSKA,nowotwory ogółem,6699
2001,38242197,POLSKA,nowotwory ogółem,6651
2002,38218531,POLSKA,nowotwory ogółem,6680
2003,38190608,POLSKA,nowotwory ogółem,6767
2004,38173835,POLSKA,nowotwory ogółem,6706
2005,38157055,POLSKA,nowotwory ogółem,6908
2006,38125479,POLSKA,nowotwory ogółem,7036
2007,38115641,POLSKA,nowotwory ogółem,7162
2008,38135876,POLSKA,nowotwory ogółem,7107
2009,38167329,POLSKA,nowotwory ogółem,6990
2010,38529866,POLSKA,nowotwory ogółem,6961
2011,38538447,POLSKA,nowotwory ogółem,7093
2012,38533299,POLSKA,nowotwory ogółem,7243
2013,38495659,POLSKA,nowotwory ogółem,7485
2014,38478602,POLSKA,nowotwory ogółem,7603
2015,38437239,POLSKA,nowotwory ogółem,7904
2016,38432992,POLSKA,nowotwory ogółem,8063
2017,38433558,POLSKA,nowotwory ogółem,8279
2018,38411148,POLSKA,nowotwory ogółem,8488
2019,38382576,POLSKA,nowotwory ogółem,8520
2020,38265013,POLSKA,nowotwory ogółem,8467
1999,38263303,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,598
2000,38253955,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,549
2001,38242197,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,572
2002,38218531,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,584
2003,38190608,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,544
2004,38173835,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,577
2005,38157055,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,583
2006,38125479,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,463
2007,38115641,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,488
2008,38135876,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,435
2009,38167329,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,426
2010,38529866,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,405
2011,38538447,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,329
2012,38533299,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,290
2013,38495659,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,306
2014,38478602,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,223
2015,38437239,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,208
2016,38432992,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,284
2017,38433558,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,289
2018,38411148,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,333
2019,38382576,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,247
2020,38265013,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej - cukrzyca,271
1999,38263303,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,5856
2000,38253955,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,5712
2001,38242197,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,5571
2002,38218531,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,5639
2003,38190608,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,5727
2004,38173835,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,5641
2005,38157055,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,5950
2006,38125479,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,6486
2007,38115641,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,6758
2008,38135876,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,7027
2009,38167329,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,7149
2010,38529866,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,6868
2011,38538447,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,7124
2012,38533299,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,7535
2013,38495659,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,7829
2014,38478602,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,7206
2015,38437239,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,8634
2016,38432992,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,8915
2017,38433558,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,9451
2018,38411148,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,9649
2019,38382576,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,10007
2020,38265013,POLSKA,zaburzenia psychiczne i zaburzenia zachowania,12947
1999,38263303,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,5331
2000,38253955,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,5190
2001,38242197,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,5060
2002,38218531,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,5126
2003,38190608,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,5226
2004,38173835,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,5078
2005,38157055,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,5447
2006,38125479,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,6014
2007,38115641,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,6359
2008,38135876,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,6599
2009,38167329,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,6761
2010,38529866,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,6512
2011,38538447,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,6766
2012,38533299,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,7129
2013,38495659,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,7441
2014,38478602,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,6786
2015,38437239,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,8249
2016,38432992,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,8295
2017,38433558,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,8781
2018,38411148,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,9017
2019,38382576,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,9285
2020,38265013,POLSKA,choroby krwi i narządów krwiotwórczych oraz niektóre choroby przebiegające  z udziałem mechanizmów autoimmunologicznych,12160
1999,38263303,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1839
2000,38253955,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1541
2001,38242197,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1594
2002,38218531,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1485
2003,38190608,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1705
2004,38173835,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1811
2005,38157055,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1811
2006,38125479,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1967
2007,38115641,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,2156
2008,38135876,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,2077
2009,38167329,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1859
2010,38529866,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1785
2011,38538447,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1859
2012,38533299,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1708
2013,38495659,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1546
2014,38478602,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,1495
2015,38437239,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,2268
2016,38432992,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,3204
2017,38433558,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,3723
2018,38411148,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,3762
2019,38382576,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,3807
2020,38265013,POLSKA,zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej ogółem,4387
1999,38263303,POLSKA,choroby układu nerwowego i narządów zmysłów,3621
2000,38253955,POLSKA,choroby układu nerwowego i narządów zmysłów,3611
2001,38242197,POLSKA,choroby układu nerwowego i narządów zmysłów,3861
2002,38218531,POLSKA,choroby układu nerwowego i narządów zmysłów,3943
2003,38190608,POLSKA,choroby układu nerwowego i narządów zmysłów,3954
2004,38173835,POLSKA,choroby układu nerwowego i narządów zmysłów,4211
2005,38157055,POLSKA,choroby układu nerwowego i narządów zmysłów,4837
2006,38125479,POLSKA,choroby układu nerwowego i narządów zmysłów,4829
2007,38115641,POLSKA,choroby układu nerwowego i narządów zmysłów,4884
2008,38135876,POLSKA,choroby układu nerwowego i narządów zmysłów,4955
2009,38167329,POLSKA,choroby układu nerwowego i narządów zmysłów,5171
2010,38529866,POLSKA,choroby układu nerwowego i narządów zmysłów,5133
2011,38538447,POLSKA,choroby układu nerwowego i narządów zmysłów,5393
2012,38533299,POLSKA,choroby układu nerwowego i narządów zmysłów,5748
2013,38495659,POLSKA,choroby układu nerwowego i narządów zmysłów,5780
2014,38478602,POLSKA,choroby układu nerwowego i narządów zmysłów,5193
2015,38437239,POLSKA,choroby układu nerwowego i narządów zmysłów,5441
2016,38432992,POLSKA,choroby układu nerwowego i narządów zmysłów,5759
2017,38433558,POLSKA,choroby układu nerwowego i narządów zmysłów,6465
2018,38411148,POLSKA,choroby układu nerwowego i narządów zmysłów,6528
2019,38382576,POLSKA,choroby układu nerwowego i narządów zmysłów,6602
2020,38265013,POLSKA,choroby układu nerwowego i narządów zmysłów,7900
1999,38263303,POLSKA,choroby układu krążenia ogółem,181477
2000,38253955,POLSKA,choroby układu krążenia ogółem,175407
2001,38242197,POLSKA,choroby układu krążenia ogółem,173809
2002,38218531,POLSKA,choroby układu krążenia ogółem,169299
2003,38190608,POLSKA,choroby układu krążenia ogółem,172292
2004,38173835,POLSKA,choroby układu krążenia ogółem,168674
2005,38157055,POLSKA,choroby układu krążenia ogółem,168227
2006,38125479,POLSKA,choroby układu krążenia ogółem,168532
2007,38115641,POLSKA,choroby układu krążenia ogółem,171372
2008,38135876,POLSKA,choroby układu krążenia ogółem,172943
2009,38167329,POLSKA,choroby układu krążenia ogółem,177965
2010,38529866,POLSKA,choroby układu krążenia ogółem,174003
2011,38538447,POLSKA,choroby układu krążenia ogółem,169872
2012,38533299,POLSKA,choroby układu krążenia ogółem,177578
2013,38495659,POLSKA,choroby układu krążenia ogółem,177433
2014,38478602,POLSKA,choroby układu krążenia ogółem,169735
2015,38437239,POLSKA,choroby układu krążenia ogółem,180343
2016,38432992,POLSKA,choroby układu krążenia ogółem,167974
2017,38433558,POLSKA,choroby układu krążenia ogółem,167075
2018,38411148,POLSKA,choroby układu krążenia ogółem,167942
2019,38382576,POLSKA,choroby układu krążenia ogółem,161589
2020,38265013,POLSKA,choroby układu krążenia ogółem,174546
1999,38263303,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4956
2000,38253955,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4695
2001,38242197,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4409
2002,38218531,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4314
2003,38190608,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4741
2004,38173835,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4937
2005,38157055,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,5578
2006,38125479,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,5965
2007,38115641,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,5927
2008,38135876,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,5612
2009,38167329,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,6188
2010,38529866,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,6247
2011,38538447,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,5468
2012,38533299,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4513
2013,38495659,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4273
2014,38478602,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,3938
2015,38437239,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,4428
2016,38432992,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,5233
2017,38433558,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,7278
2018,38411148,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,7937
2019,38382576,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,8577
2020,38265013,POLSKA,choroby układu krążenia - choroba nadciśnieniowa,11976
